Setup Margin (ns),Hold Margin (ns),Transfer Net,Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,$T2:DELAY,$T4:DELAY,UI,PATTERN
7.770,3.878,sheet1,io0_ssse_4_1o5_1o5\io0_ssse_4_1o5_1o5.csd,0,0,0,0.071,0.088,2.132,1.685,,,,,,14.798,0.122,2.419,4.486,IsSpice4,IO0,0.000,tnet,0,SSSE,4in,1.5in,1.5in,15n,default_clock
7.586,4.094,sheet1,io1_ssse_4_1o5_1o5\io1_ssse_4_1o5_1o5.csd,0,0,0,0.062,0.083,2.190,1.692,,,,,,14.786,0.144,2.693,4.549,IsSpice4,IO1,0.000,tnet,0,SSSE,4in,1.5in,1.5in,15n,default_clock
7.519,3.927,sheet1,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,0,0,0,0.065,0.099,2.132,1.664,,,,,,14.786,0.134,2.396,4.510,IsSpice4,Controller,0.000,tnet,0,SSSE,5in,0.75in,0.75in,15n,default_clock
7.726,3.915,sheet1,io0_ssse_5_0o75_0o75\io0_ssse_5_0o75_0o75.csd,0,0,0,0.063,0.083,2.212,1.699,,,,,,14.815,0.114,2.416,4.578,IsSpice4,IO0,0.000,tnet,0,SSSE,5in,0.75in,0.75in,15n,default_clock
7.513,4.144,sheet1,io1_ssse_5_0o75_0o75\io1_ssse_5_0o75_0o75.csd,0,0,0,0.071,0.096,2.165,1.690,,,,,,14.778,0.141,2.629,4.523,IsSpice4,IO1,0.000,tnet,0,SSSE,5in,0.75in,0.75in,15n,default_clock
6.653,3.934,sheet1,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,0,7,0,0.065,0.093,2.118,1.642,,,,,,13.858,0.129,2.458,4.586,IsSpice4,Controller,0.000,tnet,0,SSSE,5in,0.75in,1.5in,15n,default_clock
7.737,3.928,sheet1,io0_ssse_5_0o75_1o5\io0_ssse_5_0o75_1o5.csd,0,0,0,0.063,0.097,2.202,1.688,,,,,,14.782,0.143,1.991,4.556,IsSpice4,IO0,0.000,tnet,0,SSSE,5in,0.75in,1.5in,15n,default_clock
7.373,4.280,sheet1,io1_ssse_5_0o75_1o5\io1_ssse_5_0o75_1o5.csd,0,0,0,0.067,0.109,2.182,1.682,,,,,,14.777,0.132,2.564,4.529,IsSpice4,IO1,0.000,tnet,0,SSSE,5in,0.75in,1.5in,15n,default_clock
7.522,4.075,sheet1,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,0,0,0,0.064,0.091,2.029,1.657,,,,,,14.785,0.139,2.550,4.441,IsSpice4,Controller,0.000,tnet,0,SSSE,5in,1.5in,0.75in,15n,default_clock
7.565,4.100,sheet1,io0_ssse_5_1o5_0o75\io0_ssse_5_1o5_0o75.csd,0,0,0,0.065,0.084,2.169,1.697,,,,,,14.788,0.137,1.993,4.532,IsSpice4,IO0,0.000,tnet,0,SSSE,5in,1.5in,0.75in,15n,default_clock
7.527,4.122,sheet1,io1_ssse_5_1o5_0o75\io1_ssse_5_1o5_0o75.csd,0,0,0,0.064,0.090,2.167,1.699,,,,,,14.805,0.120,2.282,4.528,IsSpice4,IO1,0.000,tnet,0,SSSE,5in,1.5in,0.75in,15n,default_clock
7.369,4.077,sheet1,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,0,0,0,0.066,0.089,2.084,1.660,,,,,,14.790,0.137,2.466,4.532,IsSpice4,Controller,0.000,tnet,0,SSSE,5in,1.5in,1.5in,15n,default_clock
7.612,4.079,sheet1,io0_ssse_5_1o5_1o5\io0_ssse_5_1o5_1o5.csd,0,0,0,0.068,0.084,2.196,1.680,,,,,,14.763,0.162,1.732,4.538,IsSpice4,IO0,0.000,tnet,0,SSSE,5in,1.5in,1.5in,15n,default_clock
7.370,4.281,sheet1,io1_ssse_5_1o5_1o5\io1_ssse_5_1o5_1o5.csd,0,0,0,0.065,0.089,2.159,1.698,,,,,,14.799,0.120,2.319,4.520,IsSpice4,IO1,0.000,tnet,0,SSSE,5in,1.5in,1.5in,15n,default_clock
7.321,4.139,sheet1,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,0,0,0,0.064,0.098,2.125,1.658,,,,,,14.788,0.137,2.483,4.503,IsSpice4,Controller,0.000,tnet,0,SSSE,6in,0.75in,0.75in,15n,default_clock
7.534,4.129,sheet1,io0_ssse_6_0o75_0o75\io0_ssse_6_0o75_0o75.csd,0,0,0,0.065,0.084,2.196,1.693,,,,,,14.792,0.134,2.192,4.558,IsSpice4,IO0,0.000,tnet,0,SSSE,6in,0.75in,0.75in,15n,default_clock
7.320,4.331,sheet1,io1_ssse_6_0o75_0o75\io1_ssse_6_0o75_0o75.csd,0,0,0,0.068,0.096,2.188,1.696,,,,,,14.784,0.135,2.391,4.549,IsSpice4,IO1,0.000,tnet,0,SSSE,6in,0.75in,0.75in,15n,default_clock
6.459,4.115,sheet1,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,0,7,0,0.065,0.106,2.093,1.658,,,,,,13.862,0.141,2.432,4.583,IsSpice4,Controller,0.000,tnet,0,SSSE,6in,0.75in,1.5in,15n,default_clock
7.529,4.126,sheet1,io0_ssse_6_0o75_1o5\io0_ssse_6_0o75_1o5.csd,0,0,0,0.066,0.088,2.159,1.691,,,,,,14.798,0.128,2.219,4.517,IsSpice4,IO0,0.000,tnet,0,SSSE,6in,0.75in,1.5in,15n,default_clock
7.169,4.488,sheet1,io1_ssse_6_0o75_1o5\io1_ssse_6_0o75_1o5.csd,0,0,0,0.072,0.108,2.223,1.688,,,,,,14.770,0.138,2.415,4.578,IsSpice4,IO1,0.000,tnet,0,SSSE,6in,0.75in,1.5in,15n,default_clock
7.322,4.276,sheet1,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,0,0,0,0.067,0.099,2.074,1.656,,,,,,14.794,0.126,2.557,4.434,IsSpice4,Controller,0.000,tnet,0,SSSE,6in,1.5in,0.75in,15n,default_clock
7.387,4.283,sheet1,io0_ssse_6_1o5_0o75\io0_ssse_6_1o5_0o75.csd,0,0,0,0.062,0.085,2.140,1.690,,,,,,14.789,0.138,1.927,4.499,IsSpice4,IO0,0.000,tnet,0,SSSE,6in,1.5in,0.75in,15n,default_clock
7.341,4.321,sheet1,io1_ssse_6_1o5_0o75\io1_ssse_6_1o5_0o75.csd,0,0,0,0.071,0.083,2.156,1.696,,,,,,14.790,0.135,2.214,4.517,IsSpice4,IO1,0.000,tnet,0,SSSE,6in,1.5in,0.75in,15n,default_clock
7.169,4.260,sheet1,controller_ssse_6_1o5_1o5\controller_ssse_6_1o5_1o5.csd,0,0,0,0.067,0.094,2.101,1.657,,,,,,14.791,0.131,2.591,4.520,IsSpice4,Controller,0.000,tnet,0,SSSE,6in,1.5in,1.5in,15n,default_clock
7.372,4.265,sheet1,io0_ssse_6_1o5_1o5\io0_ssse_6_1o5_1o5.csd,0,0,0,0.066,0.097,2.184,1.693,,,,,,14.811,0.110,1.832,4.540,IsSpice4,IO0,0.000,tnet,0,SSSE,6in,1.5in,1.5in,15n,default_clock
7.208,4.475,sheet1,io1_ssse_6_1o5_1o5\io1_ssse_6_1o5_1o5.csd,0,0,0,0.070,0.086,2.153,1.695,,,,,,14.767,0.156,2.203,4.509,IsSpice4,IO1,0.000,tnet,0,SSSE,6in,1.5in,1.5in,15n,default_clock
11.296,0.237,sheet1,controller_fffe_3_0o75_0o75\controller_fffe_3_0o75_0o75.csd,0,0,0,0.058,0.072,2.591,1.787,,,,,,14.894,0.044,3.545,5.160,IsSpice4,Controller,0.000,tnet,0,FFFE,3in,0.75in,0.75in,15n,default_clock
11.446,0.264,sheet1,io0_fffe_3_0o75_0o75\io0_fffe_3_0o75_0o75.csd,0,0,0,0.069,0.076,2.671,1.839,,,,,,14.874,0.055,2.846,5.176,IsSpice4,IO0,0.000,tnet,0,FFFE,3in,0.75in,0.75in,15n,default_clock
11.259,0.419,sheet1,io1_fffe_3_0o75_0o75\io1_fffe_3_0o75_0o75.csd,0,0,0,0.062,0.096,2.707,1.839,,,,,,14.893,0.037,3.324,5.208,IsSpice4,IO1,0.000,tnet,0,FFFE,3in,0.75in,0.75in,15n,default_clock
11.181,0.248,sheet1,controller_fffe_3_0o75_1o5\controller_fffe_3_0o75_1o5.csd,0,0,0,0.058,0.066,2.609,1.818,,,,,,14.899,0.045,3.059,5.215,IsSpice4,Controller,0.000,tnet,0,FFFE,3in,0.75in,1.5in,15n,default_clock
11.425,0.280,sheet1,io0_fffe_3_0o75_1o5\io0_fffe_3_0o75_1o5.csd,0,0,0,0.062,0.073,2.663,1.835,,,,,,14.888,0.046,2.834,5.163,IsSpice4,IO0,0.000,tnet,0,FFFE,3in,0.75in,1.5in,15n,default_clock
11.171,0.527,sheet1,io1_fffe_3_0o75_1o5\io1_fffe_3_0o75_1o5.csd,0,0,0,0.061,0.076,2.739,1.845,,,,,,14.897,0.042,3.107,5.246,IsSpice4,IO1,0.000,tnet,0,FFFE,3in,0.75in,1.5in,15n,default_clock
11.303,0.362,sheet1,controller_fffe_3_1o5_0o75\controller_fffe_3_1o5_0o75.csd,0,0,0,0.058,0.067,2.634,1.818,,,,,,14.899,0.046,3.365,5.122,IsSpice4,Controller,0.000,tnet,0,FFFE,3in,1.5in,0.75in,15n,default_clock
11.350,0.362,sheet1,io0_fffe_3_1o5_0o75\io0_fffe_3_1o5_0o75.csd,0,0,0,0.060,0.068,2.724,1.841,,,,,,14.895,0.045,2.913,5.227,IsSpice4,IO0,0.000,tnet,0,FFFE,3in,1.5in,0.75in,15n,default_clock
11.277,0.405,sheet1,io1_fffe_3_1o5_0o75\io1_fffe_3_1o5_0o75.csd,0,0,0,0.067,0.074,2.706,1.844,,,,,,14.910,0.023,3.234,5.212,IsSpice4,IO1,0.000,tnet,0,FFFE,3in,1.5in,0.75in,15n,default_clock
11.172,0.368,sheet1,controller_fffe_3_1o5_1o5\controller_fffe_3_1o5_1o5.csd,0,0,0,0.058,0.066,2.617,1.816,,,,,,14.891,0.048,3.146,5.156,IsSpice4,Controller,0.000,tnet,0,FFFE,3in,1.5in,1.5in,15n,default_clock
11.333,0.359,sheet1,io0_fffe_3_1o5_1o5\io0_fffe_3_1o5_1o5.csd,0,0,0,0.059,0.069,2.668,1.831,,,,,,14.909,0.030,3.047,5.163,IsSpice4,IO0,0.000,tnet,0,FFFE,3in,1.5in,1.5in,15n,default_clock
11.169,0.532,sheet1,io1_fffe_3_1o5_1o5\io1_fffe_3_1o5_1o5.csd,0,0,0,0.066,0.071,2.706,1.837,,,,,,14.893,0.041,2.723,5.206,IsSpice4,IO1,0.000,tnet,0,FFFE,3in,1.5in,1.5in,15n,default_clock
11.127,0.408,sheet1,controller_fffe_4_0o75_0o75\controller_fffe_4_0o75_0o75.csd,0,0,0,0.056,0.071,2.614,1.811,,,,,,14.890,0.051,2.786,5.178,IsSpice4,Controller,0.000,tnet,0,FFFE,4in,0.75in,0.75in,15n,default_clock
11.288,0.406,sheet1,io0_fffe_4_0o75_0o75\io0_fffe_4_0o75_0o75.csd,0,0,0,0.057,0.070,2.688,1.830,,,,,,14.910,0.028,2.638,5.181,IsSpice4,IO0,0.000,tnet,0,FFFE,4in,0.75in,0.75in,15n,default_clock
11.143,0.567,sheet1,io1_fffe_4_0o75_0o75\io1_fffe_4_0o75_0o75.csd,0,0,0,0.061,0.065,2.724,1.838,,,,,,14.890,0.047,3.078,5.225,IsSpice4,IO1,0.000,tnet,0,FFFE,4in,0.75in,0.75in,15n,default_clock
10.995,0.408,sheet1,controller_fffe_4_0o75_1o5\controller_fffe_4_0o75_1o5.csd,0,0,0,0.057,0.078,2.600,1.798,,,,,,14.888,0.053,2.750,5.207,IsSpice4,Controller,0.000,tnet,0,FFFE,4in,0.75in,1.5in,15n,default_clock
11.309,0.399,sheet1,io0_fffe_4_0o75_1o5\io0_fffe_4_0o75_1o5.csd,0,0,0,0.062,0.067,2.687,1.839,,,,,,14.890,0.046,3.072,5.189,IsSpice4,IO0,0.000,tnet,0,FFFE,4in,0.75in,1.5in,15n,default_clock
11.001,0.702,sheet1,io1_fffe_4_0o75_1o5\io1_fffe_4_0o75_1o5.csd,0,0,0,0.071,0.074,2.710,1.836,,,,,,14.878,0.054,2.689,5.208,IsSpice4,IO1,0.000,tnet,0,FFFE,4in,0.75in,1.5in,15n,default_clock
11.140,0.536,sheet1,controller_fffe_4_1o5_0o75\controller_fffe_4_1o5_0o75.csd,0,0,0,0.061,0.065,2.640,1.822,,,,,,14.888,0.052,2.791,5.127,IsSpice4,Controller,0.000,tnet,0,FFFE,4in,1.5in,0.75in,15n,default_clock
11.183,0.519,sheet1,io0_fffe_4_1o5_0o75\io0_fffe_4_1o5_0o75.csd,0,0,0,0.058,0.064,2.734,1.841,,,,,,14.905,0.036,3.047,5.238,IsSpice4,IO0,0.000,tnet,0,FFFE,4in,1.5in,0.75in,15n,default_clock
11.128,0.574,sheet1,io1_fffe_4_1o5_0o75\io1_fffe_4_1o5_0o75.csd,0,0,0,0.071,0.077,2.748,1.845,,,,,,14.878,0.050,3.056,5.257,IsSpice4,IO1,0.000,tnet,0,FFFE,4in,1.5in,0.75in,15n,default_clock
11.012,0.532,sheet1,controller_fffe_4_1o5_1o5\controller_fffe_4_1o5_1o5.csd,0,0,0,0.060,0.067,2.605,1.807,,,,,,14.885,0.051,2.572,5.131,IsSpice4,Controller,0.000,tnet,0,FFFE,4in,1.5in,1.5in,15n,default_clock
11.202,0.505,sheet1,io0_fffe_4_1o5_1o5\io0_fffe_4_1o5_1o5.csd,0,0,0,0.055,0.066,2.713,1.847,,,,,,14.900,0.044,2.932,5.224,IsSpice4,IO0,0.000,tnet,0,FFFE,4in,1.5in,1.5in,15n,default_clock
11.018,0.698,sheet1,io1_fffe_4_1o5_1o5\io1_fffe_4_1o5_1o5.csd,0,0,0,0.063,0.069,2.762,1.849,,,,,,14.879,0.059,2.643,5.278,IsSpice4,IO1,0.000,tnet,0,FFFE,4in,1.5in,1.5in,15n,default_clock
10.964,0.564,sheet1,controller_fffe_5_0o75_0o75\controller_fffe_5_0o75_0o75.csd,0,0,0,0.060,0.071,2.630,1.809,,,,,,14.895,0.044,2.369,5.159,IsSpice4,Controller,0.000,tnet,0,FFFE,5in,0.75in,0.75in,15n,default_clock
11.149,0.560,sheet1,io0_fffe_5_0o75_0o75\io0_fffe_5_0o75_0o75.csd,0,0,0,0.056,0.066,2.707,1.838,,,,,,14.895,0.046,2.367,5.209,IsSpice4,IO0,0.000,tnet,0,FFFE,5in,0.75in,0.75in,15n,default_clock
10.972,0.730,sheet1,io1_fffe_5_0o75_0o75\io1_fffe_5_0o75_0o75.csd,0,0,0,0.064,0.071,2.707,1.836,,,,,,14.887,0.047,2.561,5.206,IsSpice4,IO1,0.000,tnet,0,FFFE,5in,0.75in,0.75in,15n,default_clock
10.853,0.555,sheet1,controller_fffe_5_0o75_1o5\controller_fffe_5_0o75_1o5.csd,0,0,0,0.057,0.069,2.586,1.797,,,,,,14.901,0.037,2.507,5.227,IsSpice4,Controller,0.000,tnet,0,FFFE,5in,0.75in,1.5in,15n,default_clock
11.121,0.586,sheet1,io0_fffe_5_0o75_1o5\io0_fffe_5_0o75_1o5.csd,0,0,0,0.063,0.069,2.692,1.827,,,,,,14.892,0.045,2.466,5.185,IsSpice4,IO0,0.000,tnet,0,FFFE,5in,0.75in,1.5in,15n,default_clock
10.843,0.854,sheet1,io1_fffe_5_0o75_1o5\io1_fffe_5_0o75_1o5.csd,0,0,0,0.058,0.077,2.694,1.834,,,,,,14.897,0.042,2.308,5.192,IsSpice4,IO1,0.000,tnet,0,FFFE,5in,0.75in,1.5in,15n,default_clock
10.970,0.677,sheet1,controller_fffe_5_1o5_0o75\controller_fffe_5_1o5_0o75.csd,0,0,0,0.059,0.068,2.630,1.822,,,,,,14.891,0.048,2.580,5.136,IsSpice4,Controller,0.000,tnet,0,FFFE,5in,1.5in,0.75in,15n,default_clock
10.983,0.703,sheet1,io0_fffe_5_1o5_0o75\io0_fffe_5_1o5_0o75.csd,0,0,0,0.071,0.083,2.720,1.838,,,,,,14.888,0.039,2.487,5.220,IsSpice4,IO0,0.000,tnet,0,FFFE,5in,1.5in,0.75in,15n,default_clock
10.961,0.745,sheet1,io1_fffe_5_1o5_0o75\io1_fffe_5_1o5_0o75.csd,0,0,0,0.058,0.069,2.734,1.840,,,,,,14.900,0.038,2.436,5.238,IsSpice4,IO1,0.000,tnet,0,FFFE,5in,1.5in,0.75in,15n,default_clock
10.852,0.684,sheet1,controller_fffe_5_1o5_1o5\controller_fffe_5_1o5_1o5.csd,0,0,0,0.056,0.067,2.598,1.805,,,,,,14.896,0.044,2.441,5.160,IsSpice4,Controller,0.000,tnet,0,FFFE,5in,1.5in,1.5in,15n,default_clock
11.009,0.687,sheet1,io0_fffe_5_1o5_1o5\io0_fffe_5_1o5_1o5.csd,0,0,0,0.057,0.062,2.730,1.839,,,,,,14.914,0.029,2.436,5.232,IsSpice4,IO0,0.000,tnet,0,FFFE,5in,1.5in,1.5in,15n,default_clock
10.828,0.857,sheet1,io1_fffe_5_1o5_1o5\io1_fffe_5_1o5_1o5.csd,0,0,0,0.058,0.076,2.708,1.842,,,,,,14.913,0.025,2.364,5.216,IsSpice4,IO1,0.000,tnet,0,FFFE,5in,1.5in,1.5in,15n,default_clock
10.824,0.727,sheet1,controller_fffe_6_0o75_0o75\controller_fffe_6_0o75_0o75.csd,0,0,0,0.058,0.066,2.621,1.811,,,,,,14.898,0.042,2.367,5.175,IsSpice4,Controller,0.000,tnet,0,FFFE,6in,0.75in,0.75in,15n,default_clock
10.951,0.761,sheet1,io0_fffe_6_0o75_0o75\io0_fffe_6_0o75_0o75.csd,0,0,0,0.068,0.073,2.677,1.834,,,,,,14.877,0.054,2.457,5.173,IsSpice4,IO0,0.000,tnet,0,FFFE,6in,0.75in,0.75in,15n,default_clock
10.757,0.892,sheet1,io1_fffe_6_0o75_0o75\io1_fffe_6_0o75_0o75.csd,0,0,0,0.067,0.105,2.715,1.843,,,,,,14.895,0.018,2.351,5.227,IsSpice4,IO1,0.000,tnet,0,FFFE,6in,0.75in,0.75in,15n,default_clock
10.685,0.727,sheet1,controller_fffe_6_0o75_1o5\controller_fffe_6_0o75_1o5.csd,0,0,0,0.055,0.072,2.641,1.818,,,,,,14.891,0.050,2.573,5.230,IsSpice4,Controller,0.000,tnet,0,FFFE,6in,0.75in,1.5in,15n,default_clock
10.976,0.744,sheet1,io0_fffe_6_0o75_1o5\io0_fffe_6_0o75_1o5.csd,0,0,0,0.064,0.069,2.704,1.838,,,,,,14.877,0.061,2.317,5.206,IsSpice4,IO0,0.000,tnet,0,FFFE,6in,0.75in,1.5in,15n,default_clock
10.675,1.002,sheet1,io1_fffe_6_0o75_1o5\io1_fffe_6_0o75_1o5.csd,0,0,0,0.060,0.081,2.734,1.844,,,,,,14.912,0.023,2.631,5.239,IsSpice4,IO1,0.000,tnet,0,FFFE,6in,0.75in,1.5in,15n,default_clock
10.823,0.844,sheet1,controller_fffe_6_1o5_0o75\controller_fffe_6_1o5_0o75.csd,0,0,0,0.058,0.066,2.625,1.821,,,,,,14.894,0.047,2.535,5.130,IsSpice4,Controller,0.000,tnet,0,FFFE,6in,1.5in,0.75in,15n,default_clock
10.827,0.863,sheet1,io0_fffe_6_1o5_0o75\io0_fffe_6_1o5_0o75.csd,0,0,0,0.074,0.085,2.707,1.841,,,,,,14.883,0.044,2.731,5.212,IsSpice4,IO0,0.000,tnet,0,FFFE,6in,1.5in,0.75in,15n,default_clock
10.779,0.908,sheet1,io1_fffe_6_1o5_0o75\io1_fffe_6_1o5_0o75.csd,0,0,0,0.067,0.076,2.727,1.843,,,,,,14.903,0.029,2.593,5.235,IsSpice4,IO1,0.000,tnet,0,FFFE,6in,1.5in,0.75in,15n,default_clock
10.693,0.864,sheet1,controller_fffe_6_1o5_1o5\controller_fffe_6_1o5_1o5.csd,0,0,0,0.059,0.067,2.625,1.810,,,,,,14.885,0.054,2.624,5.151,IsSpice4,Controller,0.000,tnet,0,FFFE,6in,1.5in,1.5in,15n,default_clock
10.878,0.830,sheet1,io0_fffe_6_1o5_1o5\io0_fffe_6_1o5_1o5.csd,0,0,0,0.057,0.066,2.708,1.842,,,,,,14.897,0.043,2.635,5.213,IsSpice4,IO0,0.000,tnet,0,FFFE,6in,1.5in,1.5in,15n,default_clock
