Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,PATTERN
sheet1,mydriver,myreceiver,R,1.282,1.282,5.848,TTTE,15,74.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.786,TTTE,16,77.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.853,TTTE,17,80.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.777,TTTE,18,83.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.857,TTTE,19,86.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.773,TTTE,20,89.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.835,TTTE,21,92.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.778,TTTE,22,95.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.851,TTTE,23,98.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.773,TTTE,24,101.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.853,TTTE,25,104.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,F,1.282,1.282,5.766,TTTE,26,107.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
sheet1,mydriver,myreceiver,R,1.282,1.282,5.873,TTTE,27,110.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus
