Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
DQ,designator1,designator2,F,0.766,1.503,1.627,SSSE,2,33.685,20.000,0.737,SL_PAD/,designator2_pad,3.285,4.022,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.727,1.310,2.059,SSSE,3,53.669,20.000,0.583,SL_PAD/,designator2_pad,3.317,3.900,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,F,0.683,1.475,1.516,SSSE,4,63.621,10.000,0.792,SL_PAD/,designator2_pad,3.202,3.994,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.621,1.259,1.881,SSSE,5,73.593,10.000,0.638,SL_PAD/,designator2_pad,3.211,3.849,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,F,0.689,1.477,1.522,SSSE,6,83.625,10.000,0.788,SL_PAD/,designator2_pad,3.208,3.996,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.621,1.259,1.880,SSSE,7,93.592,10.000,0.638,SL_PAD/,designator2_pad,3.211,3.849,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,F,-0.043,0.192,5.103,FFFE,2,31.662,20.000,0.235,SL_PAD/,designator2_pad,1.492,1.727,0.000,0.000,1.535,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,0.003,0.255,4.750,FFFE,3,51.651,20.000,0.252,SL_PAD/,designator2_pad,1.466,1.718,0.000,0.000,1.463,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,-0.041,0.193,5.122,FFFE,4,61.662,10.000,0.234,SL_PAD/,designator2_pad,1.494,1.728,0.000,0.000,1.535,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,0.006,0.259,4.744,FFFE,5,71.656,10.000,0.253,SL_PAD/,designator2_pad,1.469,1.722,0.000,0.000,1.463,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,-0.041,0.193,5.144,FFFE,6,81.662,10.000,0.234,SL_PAD/,designator2_pad,1.494,1.728,0.000,0.000,1.535,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,0.006,0.259,4.743,FFFE,7,91.656,10.000,0.253,SL_PAD/,designator2_pad,1.469,1.722,0.000,0.000,1.463,designator1_fffe_2\designator1_fffe_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,0.117,0.354,5.070,FFFE,2,31.822,20.000,0.237,SL_PAD/,designator2_pad,1.652,1.889,0.000,0.000,1.535,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.165,0.418,4.747,FFFE,3,51.814,20.000,0.253,SL_PAD/,designator2_pad,1.628,1.881,0.000,0.000,1.463,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.119,0.352,5.158,FFFE,4,61.822,10.000,0.233,SL_PAD/,designator2_pad,1.654,1.887,0.000,0.000,1.535,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.173,0.423,4.797,FFFE,5,71.821,10.000,0.250,SL_PAD/,designator2_pad,1.636,1.886,0.000,0.000,1.463,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.119,0.352,5.164,FFFE,6,81.822,10.000,0.233,SL_PAD/,designator2_pad,1.654,1.887,0.000,0.000,1.535,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.173,0.424,4.791,FFFE,7,91.821,10.000,0.251,SL_PAD/,designator2_pad,1.636,1.887,0.000,0.000,1.463,designator1_fffe_3\designator1_fffe_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.279,0.515,5.075,FFFE,2,31.984,20.000,0.236,SL_PAD/,designator2_pad,1.814,2.050,0.000,0.000,1.535,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.326,0.580,4.733,FFFE,3,51.975,20.000,0.254,SL_PAD/,designator2_pad,1.789,2.043,0.000,0.000,1.463,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.280,0.518,5.043,FFFE,4,61.986,10.000,0.238,SL_PAD/,designator2_pad,1.815,2.053,0.000,0.000,1.535,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.325,0.574,4.820,FFFE,5,71.971,10.000,0.249,SL_PAD/,designator2_pad,1.788,2.037,0.000,0.000,1.463,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.281,0.519,5.040,FFFE,6,81.987,10.000,0.238,SL_PAD/,designator2_pad,1.816,2.054,0.000,0.000,1.535,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.325,0.574,4.814,FFFE,7,91.971,10.000,0.249,SL_PAD/,designator2_pad,1.788,2.037,0.000,0.000,1.463,designator1_fffe_4\designator1_fffe_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.441,0.677,5.075,FFFE,2,32.146,20.000,0.236,SL_PAD/,designator2_pad,1.976,2.212,0.000,0.000,1.535,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.487,0.742,4.713,FFFE,3,52.137,20.000,0.255,SL_PAD/,designator2_pad,1.950,2.205,0.000,0.000,1.463,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,F,0.433,0.668,5.117,FFFE,4,62.137,10.000,0.235,SL_PAD/,designator2_pad,1.968,2.203,0.000,0.000,1.535,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.499,0.765,4.511,FFFE,5,72.158,10.000,0.266,SL_PAD/,designator2_pad,1.962,2.228,0.000,0.000,1.463,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,F,0.433,0.667,5.131,FFFE,6,82.136,10.000,0.234,SL_PAD/,designator2_pad,1.968,2.202,0.000,0.000,1.535,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.499,0.765,4.507,FFFE,7,92.159,10.000,0.266,SL_PAD/,designator2_pad,1.962,2.228,0.000,0.000,1.463,designator1_fffe_5\designator1_fffe_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,F,0.607,0.843,5.092,FFFE,2,32.312,20.000,0.236,SL_PAD/,designator2_pad,2.142,2.378,0.000,0.000,1.535,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.653,0.903,4.794,FFFE,3,52.300,20.000,0.250,SL_PAD/,designator2_pad,2.116,2.366,0.000,0.000,1.463,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,F,0.647,0.884,5.052,FFFE,4,62.356,10.000,0.237,SL_PAD/,designator2_pad,2.182,2.419,0.000,0.000,1.535,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.658,0.925,4.507,FFFE,5,72.323,10.000,0.267,SL_PAD/,designator2_pad,2.121,2.388,0.000,0.000,1.463,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,F,0.648,0.886,5.038,FFFE,6,82.358,10.000,0.238,SL_PAD/,designator2_pad,2.183,2.421,0.000,0.000,1.535,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
DQ,designator1,designator2,R,0.659,0.926,4.493,FFFE,7,92.324,10.000,0.267,SL_PAD/,designator2_pad,2.122,2.389,0.000,0.000,1.463,designator1_fffe_6\designator1_fffe_6.csd,0.00V,tnet,6in,default_data
