Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,Controller,IO0,R,0.724,0.808,7.908,SSSE,13,196.851,15.000,0.084,SL_PAD/,IO0_pad,1.758,1.842,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.800,0.863,10.493,SSSE,14,211.730,15.000,0.063,SL_PAD/,IO0_pad,1.649,1.712,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.732,0.812,8.239,SSSE,15,226.857,15.000,0.080,SL_PAD/,IO0_pad,1.766,1.846,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.008,1.083,8.816,SSSE,2,31.943,15.000,0.075,SL_PAD/,IO1_pad,1.857,1.932,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.933,1.032,6.652,SSSE,3,47.065,15.000,0.099,SL_PAD/,IO1_pad,1.967,2.066,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.008,1.083,8.876,SSSE,4,61.942,15.000,0.075,SL_PAD/,IO1_pad,1.857,1.932,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.933,1.030,6.814,SSSE,5,77.065,15.000,0.097,SL_PAD/,IO1_pad,1.967,2.064,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.011,1.087,8.714,SSSE,6,91.945,15.000,0.076,SL_PAD/,IO1_pad,1.860,1.936,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.933,1.031,6.719,SSSE,7,107.065,15.000,0.098,SL_PAD/,IO1_pad,1.967,2.065,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.009,1.083,8.892,SSSE,8,121.943,15.000,0.074,SL_PAD/,IO1_pad,1.858,1.932,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.934,1.034,6.644,SSSE,9,137.067,15.000,0.100,SL_PAD/,IO1_pad,1.968,2.068,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.011,1.087,8.689,SSSE,10,151.946,15.000,0.076,SL_PAD/,IO1_pad,1.860,1.936,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.933,1.035,6.475,SSSE,11,167.067,15.000,0.102,SL_PAD/,IO1_pad,1.967,2.069,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.009,1.084,8.821,SSSE,12,181.943,15.000,0.075,SL_PAD/,IO1_pad,1.858,1.933,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.935,1.034,6.621,SSSE,13,197.068,15.000,0.099,SL_PAD/,IO1_pad,1.969,2.068,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,F,1.009,1.083,8.928,SSSE,14,211.943,15.000,0.074,SL_PAD/,IO1_pad,1.858,1.932,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,R,0.926,1.028,6.471,SSSE,15,227.058,15.000,0.102,SL_PAD/,IO1_pad,1.960,2.062,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.815,0.883,9.694,SSSE,2,31.747,15.000,0.068,SL_PAD/,Controller_pad,1.664,1.732,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.727,0.810,7.987,SSSE,3,46.852,15.000,0.083,SL_PAD/,Controller_pad,1.761,1.844,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.819,0.887,9.796,SSSE,4,61.751,15.000,0.068,SL_PAD/,Controller_pad,1.668,1.736,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.731,0.815,7.862,SSSE,5,76.857,15.000,0.084,SL_PAD/,Controller_pad,1.765,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.820,0.887,9.844,SSSE,6,91.752,15.000,0.067,SL_PAD/,Controller_pad,1.669,1.736,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.732,0.815,7.933,SSSE,7,106.857,15.000,0.083,SL_PAD/,Controller_pad,1.766,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.822,0.890,9.749,SSSE,8,121.755,15.000,0.068,SL_PAD/,Controller_pad,1.671,1.739,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.728,0.811,7.942,SSSE,9,136.853,15.000,0.083,SL_PAD/,Controller_pad,1.762,1.845,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.818,0.886,9.831,SSSE,10,151.750,15.000,0.068,SL_PAD/,Controller_pad,1.667,1.735,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.732,0.815,7.889,SSSE,11,166.857,15.000,0.083,SL_PAD/,Controller_pad,1.766,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.823,0.890,9.771,SSSE,12,181.755,15.000,0.067,SL_PAD/,Controller_pad,1.672,1.739,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.732,0.814,7.995,SSSE,13,196.856,15.000,0.082,SL_PAD/,Controller_pad,1.766,1.848,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,F,0.818,0.885,9.825,SSSE,14,211.750,15.000,0.067,SL_PAD/,Controller_pad,1.667,1.734,0.000,0.000,0.849,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,R,0.730,0.815,7.795,SSSE,15,226.855,15.000,0.085,SL_PAD/,Controller_pad,1.764,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.004,1.077,9.032,SSSE,2,31.938,15.000,0.073,SL_PAD/,Controller_pad,1.853,1.926,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.920,1.023,6.396,SSSE,3,47.053,15.000,0.103,SL_PAD/,Controller_pad,1.954,2.057,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.007,1.081,8.855,SSSE,4,61.941,15.000,0.074,SL_PAD/,Controller_pad,1.856,1.930,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.919,1.023,6.381,SSSE,5,77.053,15.000,0.104,SL_PAD/,Controller_pad,1.953,2.057,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.006,1.080,8.937,SSSE,6,91.940,15.000,0.074,SL_PAD/,Controller_pad,1.855,1.929,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.917,1.018,6.478,SSSE,7,107.050,15.000,0.101,SL_PAD/,Controller_pad,1.951,2.052,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.010,1.083,8.966,SSSE,8,121.944,15.000,0.073,SL_PAD/,Controller_pad,1.859,1.932,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.919,1.022,6.443,SSSE,9,137.053,15.000,0.103,SL_PAD/,Controller_pad,1.953,2.056,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.009,1.084,8.851,SSSE,10,151.944,15.000,0.075,SL_PAD/,Controller_pad,1.858,1.933,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.921,1.020,6.618,SSSE,11,167.052,15.000,0.099,SL_PAD/,Controller_pad,1.955,2.054,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.014,1.090,8.743,SSSE,12,181.949,15.000,0.076,SL_PAD/,Controller_pad,1.863,1.939,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.919,1.019,6.650,SSSE,13,197.051,15.000,0.100,SL_PAD/,Controller_pad,1.953,2.053,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,F,1.011,1.087,8.666,SSSE,14,211.946,15.000,0.076,SL_PAD/,Controller_pad,1.860,1.936,0.000,0.000,0.849,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,R,0.917,1.019,6.452,SSSE,15,227.050,15.000,0.102,SL_PAD/,Controller_pad,1.951,2.053,0.000,0.000,1.034,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.801,1.923,0.588,SSSE,2,31.732,15.000,1.122,SL_PAD/,IO0_pad,1.650,2.772,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.712,0.803,7.259,SSSE,3,46.842,15.000,0.091,SL_PAD/,IO0_pad,1.746,1.837,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.796,1.910,0.592,SSSE,4,61.726,15.000,1.114,SL_PAD/,IO0_pad,1.645,2.759,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.712,0.802,7.274,SSSE,5,76.842,15.000,0.090,SL_PAD/,IO0_pad,1.746,1.836,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.800,1.927,0.585,SSSE,6,91.732,15.000,1.127,SL_PAD/,IO0_pad,1.649,2.776,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.713,0.802,7.411,SSSE,7,106.842,15.000,0.089,SL_PAD/,IO0_pad,1.747,1.836,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.796,1.911,0.592,SSSE,8,121.727,15.000,1.115,SL_PAD/,IO0_pad,1.645,2.760,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.713,0.802,7.370,SSSE,9,136.842,15.000,0.089,SL_PAD/,IO0_pad,1.747,1.836,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.797,1.911,0.593,SSSE,10,151.728,15.000,1.114,SL_PAD/,IO0_pad,1.646,2.760,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.713,0.804,7.258,SSSE,11,166.843,15.000,0.091,SL_PAD/,IO0_pad,1.747,1.838,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.800,1.915,0.592,SSSE,12,181.732,15.000,1.115,SL_PAD/,IO0_pad,1.649,2.764,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.713,0.804,7.255,SSSE,13,196.843,15.000,0.091,SL_PAD/,IO0_pad,1.747,1.838,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,F,0.801,1.917,0.592,SSSE,14,211.733,15.000,1.116,SL_PAD/,IO0_pad,1.650,2.766,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,R,0.711,0.800,7.432,SSSE,15,226.840,15.000,0.089,SL_PAD/,IO0_pad,1.745,1.834,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.162,1.240,8.532,SSSE,2,32.099,15.000,0.078,SL_PAD/,IO1_pad,2.011,2.089,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.080,1.175,6.981,SSSE,3,47.210,15.000,0.095,SL_PAD/,IO1_pad,2.114,2.209,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.157,1.232,8.792,SSSE,4,62.092,15.000,0.075,SL_PAD/,IO1_pad,2.006,2.081,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.077,1.172,6.927,SSSE,5,77.206,15.000,0.095,SL_PAD/,IO1_pad,2.111,2.206,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.161,1.239,8.477,SSSE,6,92.097,15.000,0.078,SL_PAD/,IO1_pad,2.010,2.088,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.077,1.171,6.994,SSSE,7,107.206,15.000,0.094,SL_PAD/,IO1_pad,2.111,2.205,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.158,1.232,8.887,SSSE,8,122.093,15.000,0.074,SL_PAD/,IO1_pad,2.007,2.081,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.079,1.175,6.908,SSSE,9,137.209,15.000,0.096,SL_PAD/,IO1_pad,2.113,2.209,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.156,1.231,8.823,SSSE,10,152.091,15.000,0.075,SL_PAD/,IO1_pad,2.005,2.080,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.079,1.176,6.798,SSSE,11,167.210,15.000,0.097,SL_PAD/,IO1_pad,2.113,2.210,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.159,1.235,8.763,SSSE,12,182.095,15.000,0.076,SL_PAD/,IO1_pad,2.008,2.084,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.079,1.176,6.769,SSSE,13,197.209,15.000,0.097,SL_PAD/,IO1_pad,2.113,2.210,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,F,1.159,1.235,8.679,SSSE,14,212.094,15.000,0.076,SL_PAD/,IO1_pad,2.008,2.084,0.000,0.000,0.849,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,R,1.075,1.170,6.990,SSSE,15,227.204,15.000,0.095,SL_PAD/,IO1_pad,2.109,2.204,0.000,0.000,1.034,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,F,0.806,0.871,10.113,SSSE,2,31.737,15.000,0.065,SL_PAD/,Controller_pad,1.655,1.720,0.000,0.000,0.849,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,R,0.725,0.816,7.286,SSSE,3,46.855,15.000,0.091,SL_PAD/,Controller_pad,1.759,1.850,0.000,0.000,1.034,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,F,0.816,0.883,9.863,SSSE,4,61.748,15.000,0.067,SL_PAD/,Controller_pad,1.665,1.732,0.000,0.000,0.849,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,R,0.725,0.811,7.721,SSSE,5,76.852,15.000,0.086,SL_PAD/,Controller_pad,1.759,1.845,0.000,0.000,1.034,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,F,0.808,0.875,9.818,SSSE,6,91.740,15.000,0.067,SL_PAD/,Controller_pad,1.657,1.724,0.000,0.000,0.849,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,R,0.725,0.815,7.336,SSSE,7,106.854,15.000,0.090,SL_PAD/,Controller_pad,1.759,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,F,0.812,0.878,9.973,SSSE,8,121.743,15.000,0.066,SL_PAD/,Controller_pad,1.661,1.727,0.000,0.000,0.849,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,R,0.725,0.815,7.307,SSSE,9,136.855,15.000,0.090,SL_PAD/,Controller_pad,1.759,1.849,0.000,0.000,1.034,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,F,0.809,0.875,10.053,SSSE,10,151.740,15.000,0.066,SL_PAD/,Controller_pad,1.658,1.724,0.000,0.000,0.849,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0.00V,tnet,3in,0.75in,1.5in,default_clock
